task,group,method,metrics_path,config_path,is_final,note,exists,rmse,mae,nasa_score,ra,alpha_lambda_0.5,alpha_lambda_0.8,last_window_rmse,last_5_avg_rmse,best_epoch,num_parameters,latency_ms_per_sample
second,strict_baseline,Transformer stage LMMD + pseudo-time,outputs/second_transfer_strict_50e/transformer_stage_lmmd_pseudo_time_w0p003_50e/transfer_metrics.json,,False,,True,0.36041490986685804,0.2914332330493074,77.28840578979589,0.434102750150856,0.2842809364548495,0.14527027027027026,0.47308361259159354,0.47745978647784365,25.0,69441.0,0.1279498437526172
second,strict_baseline,AD-TCN-MSC-DIM stage LMMD + pseudo-time,outputs/second_transfer_strict_50e/ad_tcn_mscdim_stage_lmmd_pseudo_time_w0p003_50e/transfer_metrics.json,,False,,True,0.3406651442521125,0.2788885198063389,71.79534202128113,0.4563885122680383,0.4782608695652174,0.11486486486486487,0.4224859319901849,0.4202285495707373,25.0,108135.0,0.3809749999959422
first,supervised_reference,Target-only Transformer,outputs/first_transfer_50e/reaction_wheel_hi_transformer_50e/metrics.json,,False,,True,0.05051123747062486,0.03995183908398478,2.6737166699324204,0.8342532505229594,0.9878048780487805,0.3764705882352941,0.06190503363653473,0.08004258689300492,,70145.0,0.03594647239075643
first,supervised_reference,Target-only GRU,outputs/first_transfer_50e/reaction_wheel_hi_gru_50e/metrics.json,,False,,True,0.05184155324558561,0.040561479030069535,2.763723985583798,0.8322826846392775,0.975609756097561,0.4,0.06035783731405479,0.08475818060792156,,42561.0,0.03983911042854899
first,supervised_reference,Target-only AD-TCN-MSC-DIM,outputs/first_transfer_50e/reaction_wheel_hi_ad_tcn_mscdim_50e/metrics.json,,False,,True,0.05184605313200162,0.040306691620916796,2.722347314486342,0.8383771626490641,0.9878048780487805,0.49411764705882355,0.06314330258244694,0.08463439807776328,,58075.0,0.24720153373752168
first,supervised_reference,Target-only P-SA-MCD,outputs/first_transfer_50e/reaction_wheel_hi_psa_mcd_50e/metrics.json,,False,,True,0.052077922646925595,0.04033358744315755,2.7932703116730915,0.8301056208627622,0.975609756097561,0.43529411764705883,0.06334982648707671,0.08345823893821534,,49104.0,0.1713961656463251
first,supervised_reference,Target-only LSTM,outputs/first_transfer_50e/reaction_wheel_hi_lstm_50e/metrics.json,,False,,True,0.05255891610055268,0.041348631566282934,2.776800956338106,0.8326908166490232,0.9390243902439024,0.47058823529411764,0.0715933573988626,0.09107775543797852,,56001.0,0.025397699386738647
first,supervised_reference,Target-only P-TCN,outputs/first_transfer_50e/reaction_wheel_hi_ptcn_50e/metrics.json,,False,,True,0.052830678132634576,0.040170573321087526,2.7460796124012923,0.8344732954973063,0.9512195121951219,0.4,0.04703165446932835,0.07643536633753166,,26401.0,0.14489647239254297
first,supervised_reference,P-SA-MCD source pretrain + target fine-tune,outputs/first_transfer_baselines_50e/psa_mcd_finetune_pretrain10_50e/transfer_metrics.json,,False,,True,0.06320358690785295,0.050919846264729035,3.4163381607188326,0.8085824113576275,0.9512195121951219,0.4470588235294118,0.07616033565710587,0.09982121412947201,40.0,49104.0,0.09058757668363389
first,supervised_reference,Ensemble LSTM target + AD-TCN transfer,outputs/first_transfer_50e/ensemble_lstm_target_ad_tcn_transfer_val_rmse/metrics.json,,False,,True,0.0525589159908381,0.04134863162154771,2.77680096605923,0.8326908167967785,0.9390243902439024,0.47058823529411764,0.07159335738163701,0.09107775541716868,,,
second,supervised_reference,Ensemble LSTM target + AD-TCN transfer,outputs/second_transfer_50e/ensemble_lstm_target_ad_tcn_transfer_val_rmse/metrics.json,,False,,True,0.16650612379607357,0.12255182379873945,34.13974329518137,0.6762121417566334,0.5719063545150501,0.30067567567567566,0.20895298770308074,0.21714543106771841,,,
second,supervised_reference,Target-only LSTM,outputs/second_transfer_50e/satellite_battery_sim_lstm_50e/metrics.json,,False,,True,0.17158507505454804,0.12450525568623853,34.06208721487422,0.6741534555578217,0.4414715719063545,0.36824324324324326,0.23418952001094023,0.2427920061458986,,53185.0,0.054724843751330354
second,supervised_reference,Target-only AD-TCN-MSC-DIM,outputs/second_transfer_50e/satellite_battery_sim_ad_tcn_mscdim_50e/metrics.json,,False,,True,0.17606884542422627,0.13132881512360373,36.739449622907486,0.650675285280789,0.4983277591973244,0.23648648648648649,0.21099189197281637,0.2202301369077546,,108135.0,0.36864609375086843
second,supervised_reference,AD-TCN-MSC-DIM stage LMMD + target-sup,outputs/second_transfer_50e/nasa_to_satellite_battery_ad_tcn_mscdim_stage_lmmd_targetsup_src0p02_w0p0005_50e/transfer_metrics.json,,False,,True,0.18245484785775806,0.13643259374057043,38.161961624026226,0.6537581052149455,0.5150501672240803,0.25675675675675674,0.19925441133387933,0.20713932399318913,18.0,108135.0,0.35606609375093967
second,supervised_reference,P-SA-MCD source pretrain + target fine-tune,outputs/second_transfer_50e/nasa_to_satellite_battery_psa_mcd_finetune_pretrain10_50e/transfer_metrics.json,,False,,True,0.18762194846699534,0.13978895019013293,39.22092161133788,0.6418068319707971,0.45819397993311034,0.24324324324324326,0.22865356616947294,0.2406015977922913,27.0,48752.0,0.11658109375005665
second,supervised_reference,Target-only P-SA-MCD,outputs/second_transfer_50e/satellite_battery_sim_psa_mcd_50e/metrics.json,,False,,True,0.19382790521382579,0.14800701472493688,41.05209860955762,0.6293865391662726,0.35451505016722407,0.27702702702702703,0.22545904540381823,0.23834902949351025,,48752.0,0.10752320313542896
second,supervised_reference,Target-only GRU,outputs/second_transfer_50e/satellite_battery_sim_gru_50e/metrics.json,,False,,True,0.20254787222565004,0.15150274839199585,42.94746004108549,0.6200623004064891,0.43812709030100333,0.22972972972972974,0.28230427544133463,0.28742062794020845,,40449.0,0.11609132812395728
second,supervised_reference,Target-only Transformer,outputs/second_transfer_50e/satellite_battery_sim_transformer_50e/metrics.json,,False,,True,0.2048018880255931,0.1587281741305813,42.222982239921045,0.6136644984382037,0.30434782608695654,0.0945945945945946,0.2112964391896258,0.22248908714166674,,69441.0,0.08497640624796077
second,supervised_reference,Target-only P-TCN,outputs/second_transfer_50e/satellite_battery_sim_ptcn_50e/metrics.json,,False,,True,0.23273379111249107,0.18257798721159338,48.21407271280578,0.5813834945903754,0.22742474916387959,0.1554054054054054,0.21347184437157296,0.22102390136461073,,26049.0,0.08730906250775661
first,ablation,PG-STDA monotonic low,outputs/first_transfer_pg_stda_50e/psa_mcd_mono_low_w0p003_50e/transfer_metrics.json,,False,,True,0.21048749987449808,0.16417551485863394,11.54985200058583,0.5848573079596932,0.25609756097560976,0.17647058823529413,0.24796950256852393,0.2436472841182443,39.0,49104.0,0.12224524540840426
first,ablation,P-SA-MCD stage LMMD warmup10,outputs/first_transfer_optimized_50e/psa_mcd_stage_lmmd_warmup10_w0p003_50e/transfer_metrics.json,,False,,True,0.21475299866098474,0.16564937362966772,11.635560627319679,0.5881863305488273,0.3048780487804878,0.27058823529411763,0.2561015521371509,0.234825803599181,50.0,49104.0,0.11372714723821317
first,ablation,P-SA-MCD stage weighted 0.75/1/1.5,outputs/first_transfer_optimized_50e/psa_mcd_stage_weighted0p75_1_1p5_w0p003_50e/transfer_metrics.json,,False,,True,0.23171233029496555,0.17978703709265503,12.55123084827678,0.5586173028947038,0.25609756097560976,0.18823529411764706,0.23460842535410997,0.22646583966279102,48.0,49104.0,0.26959371165436447
first,ablation,P-SA-MCD stage weighted + warmup,outputs/first_transfer_optimized_50e/psa_mcd_stage_weighted0p75_1_1p5_warmup10_w0p003_50e/transfer_metrics.json,,False,,True,0.21908907171828543,0.1705255715519739,11.8996182432893,0.576334255582918,0.21951219512195122,0.2235294117647059,0.2771177192089837,0.2517762823278358,37.0,49104.0,0.12301763804121289
first,ablation,PG-STDA-SAC source balance 0.70,outputs/first_transfer_pg_stda_sac_50e/pg_stda_sac_srcsup0p7_w0p003_50e/transfer_metrics.json,,False,,True,0.13182830537119297,0.1049102231200474,7.1723191434588625,0.6915747823490502,0.4878048780487805,0.29411764705882354,0.15969693235711388,0.15031050903120186,46.0,49104.0,0.17162990797332672
first,ablation,PG-STDA-SAC with R-SPA weight 0.0003,outputs/first_transfer_pg_stda_rspa_50e/pg_stda_sac_rspa_w0p0003_c0p5_srcsup0p7_50e/transfer_metrics.json,,False,,True,0.12758651610225605,0.10120967547379386,7.101998464729822,0.6842091340366938,0.4878048780487805,0.2235294117647059,0.1943106488519137,0.17758766890421657,48.0,49104.0,0.10776886502625435
first,ablation,PG-STDA-SAC with R-SPA weight 0.0005,outputs/first_transfer_pg_stda_rspa_50e/pg_stda_sac_rspa_w0p0005_c0p5_srcsup0p7_50e/transfer_metrics.json,,False,,True,0.12737950239451373,0.10038491987163584,7.0249427882025515,0.690220229812321,0.4024390243902439,0.35294117647058826,0.17322248664648657,0.16204225504009293,49.0,49104.0,0.10478082821815862
