task,variant,feature_mode,uses_target_val_labels,uses_test_labels_for_fit,degree,ridge,rmse_delta_vs_raw,rmse_reduction_vs_raw_pct,rmse,mae,nasa_score,ra,alpha_lambda_0.5,alpha_lambda_0.8,last_window_rmse,last_5_avg_rmse
第一迁移,raw,none,no,no,,,0.0,,0.12737950231141576,0.10038491985974357,7.024942799628777,0.6902202302604445,0.4024390243902439,0.35294117647058826,0.17322248623343536,0.16204225442697304
第一迁移,y_pred-only TC,y_pred,yes,no,2,0.01,-0.0005648600711721796,0.4434465992740473,0.12681464224024358,0.10004804830556177,6.912051247914623,0.6944756036002998,0.43902439024390244,0.35294117647058826,0.16856460055139394,0.1562535972618441
第一迁移,time-only TC,time,yes,no,2,0.01,-0.023630596932977088,18.551334009144824,0.10374890537843867,0.08222944899054917,5.724980449932884,0.7198394608847971,0.6585365853658537,0.35294117647058826,0.21052726375390568,0.226833215478015
第一迁移,y_pred+time TC,"y_pred,time_index",yes,no,2,0.01,-0.03826670637404063,30.041494651538738,0.08911279593737513,0.06912726886080743,4.8413769944431895,0.741846046519735,0.6951219512195121,0.3411764705882353,0.13999246551920136,0.14507746388937198
第二迁移,raw,none,no,no,,,0.0,,0.2888416498018574,0.231641257389196,58.9300657885084,0.5117178136178634,0.47491638795986624,0.12162162162162163,0.3111066901897658,0.3166404321393521
第二迁移,y_pred-only TC,y_pred,yes,no,2,0.01,-0.02379433698969513,8.237848317934002,0.26504731281216226,0.22433032133662312,59.495422600246116,0.5264363370270281,0.6755852842809364,0.010135135135135136,0.41333145639047036,0.4158558377213301
第二迁移,time-only TC,time,yes,no,2,0.01,-0.1425208547193415,49.342210452373976,0.1463207950825159,0.10936250562679087,27.892660145338336,0.6835142810541746,0.5451505016722408,0.46621621621621623,0.22381151820780318,0.2278402337964764
第二迁移,y_pred+time TC,"y_pred,time_index",yes,no,2,0.01,-0.136343418836994,47.2035175434444,0.1524982309648634,0.11608622904288855,29.549539833399695,0.6706421217451247,0.5351170568561873,0.28378378378378377,0.20523710414114543,0.2107637907486991
